sample,batch,condition,time,replicate
shIFI6_1_Day0_rep1,1,shIFI6_1,Day0,1
shIFI6_1_Day0_rep2,1,shIFI6_1,Day0,2
shIFI6_1_Day1_rep1,1,shIFI6_1,Day1,1
shIFI6_1_Day1_rep2,1,shIFI6_1,Day1,2
shIFI6_1_Day2_rep1,1,shIFI6_1,Day2,1
shIFI6_1_Day2_rep2,1,shIFI6_1,Day2,2
shIFI6_1_Day3_rep1,1,shIFI6_1,Day3,1
shIFI6_1_Day3_rep2,1,shIFI6_1,Day3,2
shIFI6_1_Day4_rep1,1,shIFI6_1,Day4,1
shIFI6_1_Day5_rep1,1,shIFI6_1,Day5,1
shIFI6_1_Day5_rep2,1,shIFI6_1,Day5,2
shIFI6_2_Day0_rep1,1,shIFI6_2,Day0,1
shIFI6_2_Day0_rep2,1,shIFI6_2,Day0,2
shIFI6_2_Day1_rep1,1,shIFI6_2,Day1,1
shIFI6_2_Day1_rep2,1,shIFI6_2,Day1,2
shIFI6_2_Day2_rep1,1,shIFI6_2,Day2,1
shIFI6_2_Day2_rep2,1,shIFI6_2,Day2,2
shIFI6_2_Day3_rep1,1,shIFI6_2,Day3,1
shIFI6_2_Day3_rep2,1,shIFI6_2,Day3,2
shIFI6_2_Day4_rep1,1,shIFI6_2,Day4,1
shIFI6_2_Day4_rep2,1,shIFI6_2,Day4,2
shIFI6_2_Day5_rep1,1,shIFI6_2,Day5,1
shIFI6_2_Day5_rep2,1,shIFI6_2,Day5,2
shSCR_Day0_rep1,1,shSCR,Day0,1
shSCR_Day1_rep1,1,shSCR,Day1,1
shSCR_Day1_rep2,1,shSCR,Day1,2
shSCR_Day2_rep1,1,shSCR,Day2,1
shSCR_Day3_rep1,1,shSCR,Day3,1
shSCR_Day3_rep2,1,shSCR,Day3,2
shSCR_Day4_rep1,1,shSCR,Day4,1
shSCR_Day4_rep2,1,shSCR,Day4,2
shSCR_Day5_rep1,1,shSCR,Day5,1
shSCR_Day5_rep2,1,shSCR,Day5,2
